symbol,full_name,description,exchange,type
NTC,NTC,Nepal Doorsanchar Comapany Limited,Others src:Nepsealpha.com,stock
NTL,NTL,Nepal Tading Limited,Tradings src:Nepsealpha.com,stock
NUBL,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance src:Nepsealpha.com,stock
NUBLPO,NUBLPO,Nirdhan Utthan Bank Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
NVG,NVG,Nepal Vanaspati Ghee Udhyog Limited,Manufacturing And Processing src:Nepsealpha.com,stock
NWC,NWC,Nepal Welfare Company Limited,Tradings src:Nepsealpha.com,stock
NYADI,NYADI,Nyadi Hydropower Limited,Hydro Power src:Nepsealpha.com,stock
ODBL,ODBL,Om Development Bank Ltd.,Development Banks src:Nepsealpha.com,stock
ODBLPO,ODBLPO,Om Development Bank Ltd. Promoter,Promoter Share src:Nepsealpha.com,stock
OHL,OHL,Oriental Hotels Limited,Hotels and Tourism src:Nepsealpha.com,stock
OTHERS,OTHERS,Others,Others src:Nepsealpha.com,index
PBD85,PBD85,"8 years, 8.75% Prime Debenture 2085",Corporate Debenture src:Nepsealpha.com,stock
PBLD86,PBLD86,10.25% Prabhu Bank Debenture 2086,Corporate Debenture src:Nepsealpha.com,stock
PCBL,PCBL,Prime Commercial Bank Ltd.,Commercial Banks src:Nepsealpha.com,stock
PCBLP,PCBLP,Prime Commercial Bank Promoter Share,Promoter Share src:Nepsealpha.com,stock
PDBLPO,PDBLPO,Paschimanchal Bikash Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
PFL,PFL,Pokhara Finance Ltd.,Finance src:Nepsealpha.com,stock
PFLPO,PFLPO,Pokhara Finance Company Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
PIC,PIC,Premier Insurance Co. Ltd.,Non Life Insurance src:Nepsealpha.com,stock
PICL,PICL,Prudential Insurance Co. Ltd.,Non Life Insurance src:Nepsealpha.com,stock
PICLPO,PICLPO,Prudential Insurance Co. Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
PICPO,PICPO,Premier Insurance Co. Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
PLI,PLI,Prabhu Life Insurance Limited,Life Insurance src:Nepsealpha.com,stock
PLIC,PLIC,Prime Life Insurance Company Limited,Life Insurance src:Nepsealpha.com,stock
PLICPO,PLICPO,Prime Life Insurance Company Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
PMHPL,PMHPL,Panchakanya Mai Hydropower Ltd,Hydro Power src:Nepsealpha.com,stock
PPCL,PPCL,Panchthar Power Compant Limited,Hydro Power src:Nepsealpha.com,stock
PRFLPO,PRFLPO,Prabhu Finance Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
PRIN,PRIN,Prabhu Insurance Ltd.,Non Life Insurance src:Nepsealpha.com,stock
PRINPO,PRINPO,Prabhu Insurance Company Ltd. Promoter,Promoter Share src:Nepsealpha.com,stock
PROFL,PROFL,ProgressiveFinance Limited,Finance src:Nepsealpha.com,stock
PROFLP,PROFLP,Progressive Finance Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
PRVU,PRVU,Prabhu Bank Limited,Commercial Banks src:Nepsealpha.com,stock
PRVUPO,PRVUPO,Prabhu Bank Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
PSDBLP,PSDBLP,Pashupati Development Bank Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
PSF,PSF,Prabhu Select Fund,Mutual Fund src:Nepsealpha.com,stock
PURBL,PURBL,Purnima Bikas Bank Ltd.,Development Banks src:Nepsealpha.com,stock
PURBLP,PURBLP,Purnima Bikas Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
RADHI,RADHI,Radhi Bidyut Company Ltd,Hydro Power src:Nepsealpha.com,stock
RAPTI,RAPTI,Rapti Hydro and General Construction Limited,Hydro Power src:Nepsealpha.com,stock
RBB,RBB,Rastriya Banijya Bank Limited,Commercial Bank src:Nepsealpha.com,stock
RBBD83,RBBD83,"8.5% RBBL Debenture, 2083",Corporate Debenture src:Nepsealpha.com,stock
RBCL,RBCL,Rastriya Beema Company Limited,Non Life Insurance src:Nepsealpha.com,stock
RBCLPO,RBCLPO,Rastriya Beema Company Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
RHPC,RHPC,Ridi Hydropower Development Company Ltd.,Hydro Power src:Nepsealpha.com,stock
RHPL,RHPL,RASUWAGADHI HYDROPOWER COMPANY LIMITED,Hydro Power src:Nepsealpha.com,stock
RJM,RJM,Raghupati Jute Mills Limited,Manufacturing And Processing src:Nepsealpha.com,stock
RLFL,RLFL,Reliance Finance Ltd.,Finance src:Nepsealpha.com,stock
RLFLPO,RLFLPO,Reliance Finance Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
RLI,RLI,Reliance Life Insurance Limited,Life Insurance src:Nepsealpha.com,stock
RMBFPO,RMBFPO,Royal Merchant Bank & Finance Co. Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
RMDC,RMDC,RMDC Laghubitta Bittiya Sanstha Ltd.,Microfinance src:Nepsealpha.com,stock
RMDCPO,RMDCPO,Rural Microfinance Development Centre Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
RMF1,RMF1,RBB Mutual Fund 1,Mutual Fund src:Nepsealpha.com,stock
RRHP,RRHP,Rairang Hydropower Development Company Ltd.,Hydro Power src:Nepsealpha.com,stock
RSDC,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,Microfinance src:Nepsealpha.com,stock
RSDCP,RSDCP,RSDC Laghubitta Bittiya Sanstha Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
RURU,RURU,Ru Ru Jalbidhyut Pariyojana Limited,Hydro Power src:Nepsealpha.com,stock
SABSL,SABSL,SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,Microfinance src:Nepsealpha.com,stock
SADBL,SADBL,Shangrila Development Bank Ltd.,Development Banks src:Nepsealpha.com,stock
SADBLP,SADBLP,Shangrila Development Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
SAEF,SAEF,Sanima Equity Fund,Mutual Fund src:Nepsealpha.com,stock
SAHAS,SAHAS,Sahas Urja Limited,Hydro Power src:Nepsealpha.com,stock
SAMAJ,SAMAJ,Samaj Laghubitta Bittiya Sanstha Limited,Microfinance src:Nepsealpha.com,stock
SAND2085,SAND2085,Sanima Bank Limited Debenture,Corporate Debenture src:Nepsealpha.com,stock
SANIMA,SANIMA,Sanima Bank Limited,Commercial Banks src:Nepsealpha.com,stock
SAPDBL,SAPDBL,Saptakoshi Development Bank Ltd,Development Banks src:Nepsealpha.com,stock
SBBLJ,SBBLJ,Sahayogi Bikas Bank Limited,Development Banks src:Nepsealpha.com,stock
SBBLJP,SBBLJP,Sahayogi Bikas Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
SBBLPO,SBBLPO,Sanima Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
SBCF,SBCF,Sunrise Bluechip Fund,Mutual Fund src:Nepsealpha.com,stock
SBD87,SBD87,8.5% Sanima Debenture 2087,Corporate Debenture src:Nepsealpha.com,stock
SBI,SBI,Nepal SBI Bank Limited,Commercial Banks src:Nepsealpha.com,stock
SBIBD86,SBIBD86,10% Nepal SBI Bank Debenture 2086,Corporate Debenture src:Nepsealpha.com,stock
SBIPO,SBIPO,Nepal SBI Bank Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
SBL,SBL,Siddhartha Bank Limited,Commercial Banks src:Nepsealpha.com,stock
SBLD2082,SBLD2082,10.50% SBL Debenture 2082,Corporate Debenture src:Nepsealpha.com,stock
SBLD83,SBLD83,10.25% SBL Debenture 2083,Corporate Debenture src:Nepsealpha.com,stock
SBLD84,SBLD84,8.5% SBL Debenture 2084,Corporate Debenture src:Nepsealpha.com,stock
SBLPO,SBLPO,Siddhartha Bank Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
SBPP,SBPP,Shree Bhrikuti Pulp And Paper Limited,Manufacturing And Processing src:Nepsealpha.com,stock
SCB,SCB,Standard Chartered Bank Limited,Commercial Banks src:Nepsealpha.com,stock
SCBPO,SCBPO,Standard Chartered Bank Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
SDBD87,SDBD87,"10 years, 9%, Shangrila Development Bank Debenture 2087",Corporate Debenture src:Nepsealpha.com,stock
SDESI,SDESI,Swadeshi Laghubitta Bittiya Sanstha Ltd.,Microfinance src:Nepsealpha.com,stock
SDLBSL,SDLBSL,Sadhana Laghubitta Bittiya Sanstha Limited,Microfinance src:Nepsealpha.com,stock
SEF,SEF,Siddhartha Equity Fund,Mutual Fund src:Nepsealpha.com,stock
SENFLOAT,SENFLOAT,Sensitive Float Index,Sensitive Float Index src:Nepsealpha.com,index
SENSITIVE,SENSITIVE,Sensitive Index,Sensitive Index src:Nepsealpha.com,index
SEOS,SEOS,Siddhartha Equity Orineted Scheme,Mutual Fund src:Nepsealpha.com,stock
SFC,SFC,Samjhana Finance Co. Ltd.,Finance src:Nepsealpha.com,stock
SFCL,SFCL,Samriddhi Finance Company Limited,Finance src:Nepsealpha.com,stock
SFCLP,SFCLP,Samriddhi Finance Company Limited Promoter Share,Promoter Share src:Nepsealpha.com,stock
SFCPO,SFCPO,Samjhana Finace Co. Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
SFFIL,SFFIL,Shrijana Finance (Bittaya Sanstha),Finance src:Nepsealpha.com,stock
SFFILP,SFFILP,Shrijana Finance Ltd. Promoter Share,Promoter Share src:Nepsealpha.com,stock
